ID,Plant,Microhabitat,Clay,Silt,Sand,Bulk_density,Real_density,Porosity,Ca,K,Mg,Na,CEC,Cu,Fe,Zn,pH,EC,N ,C,C/N
PmP1,Pm,P,34,40,26,1.47,2.41,39.00,241.66,41.451,14.664,1.315,0.247,1.144,4.073,0.221,8.31,268.2,0.62,2.41,3.89
PmI1,Pm,I,32,38,30,1.39,2.46,43.50,243.599,40.753,14.721,1.345,1.447,1.033,3.55,0.12,8.59,142.3,0.43,0.36,0.84
PmP2,Pm,P,34,36,30,1.4,2.47,43.32,239.179,43.375,13.431,1.955,1.423,0.907,3.942,0.145,8.46,147.3,0.41,0.53,1.29
PmI2,Pm,I,36,30,34,1.42,2.45,42.04,233.891,36.593,13.051,1.005,1.372,0.744,2.304,0,8.63,140.2,0.28,2.84,10.14
PmP3,Pm,P,44,34,22,1.31,2.45,46.53,243.583,35.603,11.176,2.408,1.409,0.85,4.121,0.206,8.65,325,0.30,3.10,10.33
PmI3,Pm,I,34,38,28,1.39,2.42,42.56,249.383,23.279,8.701,5.957,1.401,1.117,4.63,0.334,8.78,217.9,0.31,0.58,1.87
PmP4,Pm,P,46,34,20,1.32,2.42,45.45,246.337,45.643,17.92,4.838,1.514,1.041,4.732,0.453,8.32,270.9,0.32,0.85,2.66
PmI4,Pm,I,40,32,28,1.33,2.4,44.58,235.348,39.107,13.938,6.623,1.418,1.08,4.644,0.235,8.46,250.2,0.28,0.54,1.93
PgI1,Pg,I,32,34,34,1.47,2.55,42.35,212.781,23.031,10.918,11.762,1.262,0.568,4.229,0.073,8.72,938,0.18,2.36,13.11
PgP1,Pg,P,30,34,36,1.48,2.5,40.80,218.245,28.642,11.515,11.406,1.307,0.661,3.965,0,9.13,643,0.17,2.08,12.24
PgI2,Pg,I,28,32,40,1.5,2.46,39.02,216.025,28.685,11.388,0.886,1.249,0.679,4.3,0.249,8.75,244.2,0.21,0.38,1.81
PgP2,Pg,P,28,36,36,1.36,2.54,46.46,218.102,29.84,10.999,0.465,1.257,0.718,4.028,0.374,8.83,247.6,0.19,0.32,1.68
PgI3,Pg,I,32,30,38,1.32,2.54,48.03,219.805,25.954,11.531,14.786,1.322,0.546,3.213,0.033,8.65,408,0.17,0.34,2.00
PgP3,Pg,P,32,34,34,1.47,2.53,41.90,215.889,37.065,11.547,3.925,1.284,0.789,3.715,0.217,9.38,513,0.11,2.11,19.18
PgI4,Pg,I,32,36,32,1.32,2.51,47.41,219.469,27.112,12.264,10.026,1.309,0.513,4.789,0.279,9.19,238.4,0.13,0.33,2.54
PgP4,Pg,P,32,32,36,1.31,2.53,48.22,222.063,30.3,12.647,7.462,1.322,0.512,2.726,0.115,9.22,287.6,0.13,0.42,3.23
LtI1,Lt,I,36,32,32,1.28,2.47,48.18,227.512,35.018,10.893,0.329,1.316,0.975,3.063,0,8.69,249.4,0.12,0.35,2.92
LtP1,Lt,P,34,30,36,1.32,2.48,46.77,237.095,45.817,12.9,0.227,1.407,1.03,2.72,0,8.76,113,0.10,0.30,3.00
LtI2,Lt,I,32,32,36,1.39,2.51,44.62,228.429,28.63,9.26,0.756,1.293,0.752,2.734,0.184,8.65,128.5,0.09,2.46,27.33
LtP2,Lt,P,36,30,34,1.3,2.44,46.72,227.244,29.172,9.383,0,1.286,0.774,2.629,0.125,8.77,114.2,0.09,0.46,5.11
LtI3,Lt,I,28,34,38,1.26,1.55,18.71,242.029,29.345,10.321,0.47,1.37,0.749,3.339,0.037,8.56,209.2,0.08,0.38,4.75
LtP3,Lt,P,30,34,36,1.29,2.13,39.44,239.515,33.273,7.811,0,1.345,0.823,2.866,0,8.71,99.2,0.07,0.31,4.43
LtI4,Lt,I,30,26,44,1.36,2.57,47.08,229.367,28.167,10.45,0.463,1.305,0.625,1.79,0,8.7,102,0.06,0.36,6.00
LtP4,Lt,P,30,34,36,1.31,2.57,49.03,227.55,27.963,9.801,0.374,1.289,0.725,2.869,0.035,8.79,101.1,0.07,2.53,36.14
SaI1,Sa,I,48,26,26,1.29,2.56,49.61,252.125,36.506,34.056,15.96,1.701,1.088,8.801,0,9,285.9,0.08,2.97,37.13
SaP1,Sa,P,40,30,30,1.29,2.56,49.61,252.974,38.538,29.86,20.75,1.697,1.167,10.118,0.081,8.76,412,0.02,3.03,151.50
SaI2,Sa,I,50,30,20,1.24,2.53,50.99,249.004,36.8,29.921,15.583,1.65,1.467,12.385,0.145,9.13,418,0.03,3.56,118.67
SaP2,Sa,P,52,32,16,1.25,2.52,50.40,255.233,39.983,28.933,22.089,1.71,1.395,11.078,0.119,8.63,468,0.07,3.14,44.86
SaI3,Sa,I,60,24,16,1.25,2.59,51.74,247.395,34.988,31.253,16.119,1.651,1.391,13.222,0.085,9.33,592,0.03,0.71,23.67
SaP3,Sa,P,54,26,20,1.21,2.31,47.62,251.518,36.911,30.454,26.212,1.714,1.23,10.055,0.006,8.98,670,0.06,3.20,53.33
SaI4,Sa,I,56,24,20,1.25,2.46,49.19,245.152,35.696,29.189,13.866,1.615,3.947,9.41,1.109,9.12,273.1,0.09,3.60,40.00
SaP4,Sa,P,62,22,16,1.09,2.52,56.75,247.148,37.288,25.088,17.287,1.61,1.058,9.465,0.088,8.99,433,0.05,3.21,64.20
